
Kokkos::Cuda::initialize WARNING: Cuda is allocating into UVMSpace by default
                                  without setting CUDA_LAUNCH_BLOCKING=1.
                                  The code must call Cuda().fence() after each kernel
                                  or will likely crash when accessing data on the host.
0.0001149 0.000167883 7.2928e-05 size     5000 34280.4 MUPD/s or  274.243 GB/s
0.000202349 0.0002534 8.1584e-05 size     9000 55157.9 MUPD/s or  441.263 GB/s
0.000269641 0.00031857 9.5151e-05 size    13000 68312.5 MUPD/s or    546.5 GB/s
0.000330929 0.000400471 9.9834e-05 size    17000 85141.3 MUPD/s or  681.131 GB/s
0.00035338 0.000459687 0.000110446 size    21000 95069.1 MUPD/s or  760.553 GB/s
0.000417431 0.000515185 0.000115106 size    25000 108596 MUPD/s or  868.764 GB/s
0.000495437 0.000602677 0.000125489 size    29000 115548 MUPD/s or  924.384 GB/s
0.000523002 0.000657932 0.00016675 size    33000 98950.5 MUPD/s or  791.604 GB/s
0.00057505 0.000719796 0.00021373 size    37000 86557.8 MUPD/s or  692.462 GB/s
0.000647271 0.000798725 0.000233158 size    41000 87923.2 MUPD/s or  703.386 GB/s
0.000754391 0.000900531 0.000263603 size    45000 85355.6 MUPD/s or  682.845 GB/s
0.000748446 0.000936464 0.000291157 size    49000 84147 MUPD/s or  673.176 GB/s
0.000798101 0.00100893 0.000309075 size    53000 85739.7 MUPD/s or  685.918 GB/s
0.000882301 0.00105829 0.000331034 size    57000 86093.9 MUPD/s or  688.751 GB/s
0.000928474 0.00115521 0.000352253 size    61000 86585.5 MUPD/s or  692.684 GB/s
0.000960789 0.00119818 0.000373757 size    65000 86954.9 MUPD/s or  695.639 GB/s
0.00106235 0.00131441 0.000391519 size    69000 88118.3 MUPD/s or  704.947 GB/s
0.00111829 0.00134708 0.000414789 size    73000 87996.5 MUPD/s or  703.972 GB/s
0.00114252 0.00145862 0.000438522 size    77000 87794.9 MUPD/s or  702.359 GB/s
0.00122116 0.00158323 0.000455816 size    81000 88851.6 MUPD/s or  710.813 GB/s
0.00127699 0.00165584 0.000497735 size    85000 85386.8 MUPD/s or  683.094 GB/s
0.00133478 0.00179422 0.000525486 size    89000 84683.5 MUPD/s or  677.468 GB/s
0.00136934 0.00170429 0.000547185 size    93000 84980.4 MUPD/s or  679.843 GB/s
0.00143651 0.0020768 0.000573266 size    97000 84603 MUPD/s or  676.824 GB/s
0.00155508 0.00188465 0.000587166 size   101000 86006.3 MUPD/s or  688.051 GB/s
0.00156193 0.00216912 0.000612393 size   105000 85729.3 MUPD/s or  685.834 GB/s
0.0016089 0.00216728 0.000628506 size   109000 86713.6 MUPD/s or  693.709 GB/s
0.00173549 0.00220985 0.000654988 size   113000 86261.1 MUPD/s or  690.089 GB/s
0.00175535 0.00234852 0.000670655 size   117000 87228.2 MUPD/s or  697.825 GB/s
0.00180337 0.00243157 0.000679155 size   121000 89081.3 MUPD/s or   712.65 GB/s
0.00186221 0.00258079 0.000710185 size   125000 88005.2 MUPD/s or  704.042 GB/s
0.00195908 0.00252404 0.000723684 size   129000 89127.3 MUPD/s or  713.018 GB/s
0.0019947 0.00287105 0.00074236 size   133000 89579.2 MUPD/s or  716.633 GB/s
0.00200455 0.00302199 0.000765785 size   137000 89450.7 MUPD/s or  715.606 GB/s
0.00210803 0.00291163 0.000787638 size   141000 89508.1 MUPD/s or  716.065 GB/s
0.00218368 0.00315116 0.000809936 size   145000 89513.2 MUPD/s or  716.106 GB/s
0.00225413 0.00306362 0.000844806 size   149000 88185.9 MUPD/s or  705.487 GB/s
0.00228807 0.00335939 0.000858379 size   153000 89121.5 MUPD/s or  712.972 GB/s
0.0023841 0.00340196 0.000893191 size   157000 87887.1 MUPD/s or  703.097 GB/s
0.0024299 0.00364948 0.000956441 size   161000 84166.2 MUPD/s or   673.33 GB/s
0.00250671 0.00354632 0.000947144 size   165000 87104 MUPD/s or  696.832 GB/s
0.0025216 0.00369309 0.000959151 size   169000 88098.7 MUPD/s or   704.79 GB/s
0.00262054 0.00384349 0.00100127 size   173000 86390.5 MUPD/s or  691.124 GB/s
0.00267717 0.00389366 0.00100633 size   177000 87943.1 MUPD/s or  703.545 GB/s
0.0027011 0.00397508 0.00103848 size   181000 87147 MUPD/s or  697.176 GB/s
0.00281004 0.00423983 0.00108388 size   185000 85341.3 MUPD/s or  682.731 GB/s
0.00289069 0.00417976 0.00108617 size   189000 87003.2 MUPD/s or  696.026 GB/s
0.00293436 0.00427503 0.00111798 size   193000 86316.5 MUPD/s or  690.532 GB/s
0.00300147 0.00427322 0.00114726 size   197000 85856.4 MUPD/s or  686.852 GB/s
0.00309215 0.00451011 0.00116246 size   201000 86454.2 MUPD/s or  691.634 GB/s
0.00315613 0.00440945 0.0011673 size   205000 87809.5 MUPD/s or  702.476 GB/s
0.00320791 0.00441506 0.00118853 size   209000 87923.4 MUPD/s or  703.388 GB/s
0.00323602 0.00499397 0.0012087 size   213000 88111.3 MUPD/s or   704.89 GB/s
0.00336838 0.00504999 0.00122305 size   217000 88712.6 MUPD/s or  709.701 GB/s
0.00341145 0.00535557 0.00125244 size   221000 88228.1 MUPD/s or  705.824 GB/s
0.00348335 0.00521811 0.00127454 size   225000 88267.3 MUPD/s or  706.139 GB/s
0.00354823 0.00524475 0.00128846 size   229000 88865.5 MUPD/s or  710.924 GB/s
0.00363899 0.00543596 0.00129025 size   233000 90292.4 MUPD/s or   722.34 GB/s
0.00363971 0.00560172 0.00131519 size   237000 90101.3 MUPD/s or   720.81 GB/s
0.00370391 0.00530781 0.00134519 size   241000 89578.1 MUPD/s or  716.625 GB/s
0.00382812 0.00551647 0.00136991 size   245000 89421.7 MUPD/s or  715.374 GB/s
0.00389194 0.00566994 0.00139526 size   249000 89230.5 MUPD/s or  713.844 GB/s
0.00393098 0.00586845 0.00143819 size   253000 87958.1 MUPD/s or  703.665 GB/s
0.00400591 0.00595274 0.00151271 size   257000 84947 MUPD/s or  679.576 GB/s
0.00409576 0.00583902 0.00163411 size   261000 79860.1 MUPD/s or  638.881 GB/s
0.00412525 0.00618374 0.00163342 size   265000 81118.3 MUPD/s or  648.947 GB/s
0.00419267 0.00594199 0.00163151 size   269000 82439.2 MUPD/s or  659.514 GB/s
0.00427392 0.00609241 0.00156704 size   273000 87106.6 MUPD/s or  696.853 GB/s
0.00432357 0.00675096 0.00157044 size   277000 88191.7 MUPD/s or  705.533 GB/s
0.00441416 0.00638729 0.00154774 size   281000 90777.3 MUPD/s or  726.218 GB/s
0.00445135 0.00687693 0.00160283 size   285000 88905.5 MUPD/s or  711.244 GB/s
0.00456173 0.00657988 0.00160645 size   289000 89950.1 MUPD/s or  719.601 GB/s
0.00460124 0.00694644 0.0016226 size   293000 90287 MUPD/s or  722.296 GB/s
0.00467124 0.00748108 0.00164797 size   297000 90110.7 MUPD/s or  720.886 GB/s
0.00472059 0.00742994 0.00165788 size   301000 90778.6 MUPD/s or  726.229 GB/s
0.00483543 0.00778198 0.00169063 size   305000 90202.8 MUPD/s or  721.623 GB/s
0.00488486 0.00773856 0.00172662 size   309000 89481.2 MUPD/s or  715.849 GB/s
0.0048963 0.00768931 0.00174788 size   313000 89537.1 MUPD/s or  716.297 GB/s
0.0049646 0.00782671 0.00175316 size   317000 90408.2 MUPD/s or  723.265 GB/s
0.00506201 0.00731866 0.00178756 size   321000 89787.1 MUPD/s or  718.297 GB/s
0.00513573 0.00798357 0.00194126 size   325000 83708.7 MUPD/s or   669.67 GB/s
